
=== BRASIL CONSOLIDADO - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
ASSOCIACAO PRIVADA;54;0.24%
AUTARQUIA MUNICIPAL;36;0.16%
SOCIEDADE EMPRESARIA LIMITADA;23;0.10%
Outros (15 itens);95;0.43%
TOTAL GERAL;22247;100.00%




=== REGIONAL SE_TJSP_CN_3-4 - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;159;34.34%
12494;51;11.02%
12495;48;10.37%
12487;48;10.37%
12503;26;5.62%
12499;18;3.89%
12489;18;3.89%
12496;15;3.24%
12500;12;2.59%
12508;8;1.73%
Outros (30 itens);60;12.96%
TOTAL GERAL;463;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE SAO PAULO;14;31.82%
JUIZO EX OFFICIO;9;20.45%
CL2 EMPREENDIMENTOS E PARTICIPACOES LTDA;8;18.18%
MINISTERIO PUBLICO DO ESTADO DE SAO PAULO;5;11.36%
MUNICIPIO DE JUNDIAI;2;4.55%
MUNICIPIO DE MOGI-GUACU;1;2.27%
SEPREV - SERVICO DE PREVIDENCIA E ASSISTENCIA A SAUDE DOS SERVIDORES MUNICIPAIS DE INDAIATUBA;1;2.27%
SAO FRANCISCO SISTEMAS DE SAUDE SOCIEDADE EMPRESARIA LIMITADA;1;2.27%
MUNICIPIO DE LEME;1;2.27%
MUNICIPIO DE BOTUCATU;1;2.27%
Outros (1 itens);1;2.27%
TOTAL GERAL;44;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;14;31.82%
SOCIEDADE EMPRESARIA LIMITADA;10;22.73%
ND;9;20.45%
MUNICIPIO;5;11.36%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;5;11.36%
AUTARQUIA MUNICIPAL;1;2.27%
TOTAL GERAL;44;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SAO PAULO;291;47.78%
MUNICIPIO DE PENAPOLIS;15;2.46%
PREFEITURA MUNICIPAL DE TATUI;13;2.13%
MUNICIPIO DE SAO PAULO;11;1.81%
MUNICIPIO DE SUMARE;8;1.31%
SECRETARIA DE ESTADO DA SAUDE;7;1.15%
MUNICIPIO DE RIBEIRAO PRETO;6;0.99%
MUNICIPIO DE JACAREI;6;0.99%
MUNICIPIO DE MARACAI;6;0.99%
INSTITUTO DE ASSISTENCIA MEDICA AO SERVIDOR PUBLICO ESTADUAL;5;0.82%
Outros (152 itens);241;39.57%
TOTAL GERAL;609;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;291;47.78%
MUNICIPIO;266;43.68%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;18;2.96%
ND;14;2.30%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;12;1.97%
AUTARQUIA MUNICIPAL;2;0.33%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;2;0.33%
SOCIEDADE EMPRESARIA LIMITADA;2;0.33%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;1;0.16%
FUNDACAO PUBLICA DE DIREITO PRIVADO MUNICIPAL;1;0.16%
TOTAL GERAL;609;100.00%




=== REGIONAL SE_TJSP_CN_4-4 - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;137;25.70%
12495;83;15.57%
12494;80;15.01%
12487;44;8.26%
12503;34;6.38%
12496;24;4.50%
12499;17;3.19%
12500;17;3.19%
8961;13;2.44%
12489;12;2.25%
Outros (32 itens);72;13.51%
TOTAL GERAL;533;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DE SAO PAULO;5;41.67%
MUNICIPIO DE VIRADOURO;1;8.33%
HOSPITAL VERA CRUZ S A;1;8.33%
SINDICATO DOS GUARDAS CIVIS METROPOLITANOS DE SAO PAULO;1;8.33%
CONDOMINIO FOTOGRAFIA;1;8.33%
MUNICIPIO DE SAO JOSE DO RIO PRETO;1;8.33%
RESIDENCIAL VERONA;1;8.33%
ASSOCIACAO DE BENEFICENCIA E FILANTROPIA SAO CRISTOVAO;1;8.33%
TOTAL GERAL;12;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;5;41.67%
MUNICIPIO;2;16.67%
CONDOMINIO EDILICIO;2;16.67%
SOCIEDADE ANONIMA FECHADA;1;8.33%
ENTIDADE SINDICAL;1;8.33%
ASSOCIACAO PRIVADA;1;8.33%
TOTAL GERAL;12;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SAO PAULO;328;47.95%
MUNICIPIO DE SAO PAULO;17;2.49%
MUNICIPIO DE MARILIA;13;1.90%
MUNICIPIO DE FRANCA;11;1.61%
MUNICIPIO DE JAHU;10;1.46%
MUNICIPIO DE RIBEIRAO PRETO;9;1.32%
FAZENDA PUBLICA DO ESTADO DE SAO PAULO;9;1.32%
SECRETARIA DE ESTADO DA SAUDE;8;1.17%
MUNICIPIO DE AMERICANA;8;1.17%
MUNICIPIO DE JACAREI;6;0.88%
Outros (153 itens);265;38.74%
TOTAL GERAL;684;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;328;47.95%
MUNICIPIO;292;42.69%
ND;25;3.65%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;16;2.34%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;5;0.73%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;4;0.58%
ASSOCIACAO PRIVADA;4;0.58%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;3;0.44%
AUTARQUIA MUNICIPAL;3;0.44%
COOPERATIVA;2;0.29%
Outros (2 itens);2;0.29%
TOTAL GERAL;684;100.00%




=== REGIONAL SU_TJPR_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12487;2468;36.00%
12492;967;14.10%
12501;596;8.69%
12500;322;4.70%
12496;321;4.68%
12495;313;4.57%
12508;299;4.36%
12489;134;1.95%
12499;134;1.95%
12416;134;1.95%
Outros (79 itens);1168;17.04%
TOTAL GERAL;6856;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DO PARANA;1967;76.84%
ESTADO DO PARANA;254;9.92%
MUNICIPIO DE UMUARAMA;80;3.12%
AUTARQUIA MUNICIPAL DE SAUDE DE APUCARANA A M S;35;1.37%
MUNICIPIO DE LOANDA;22;0.86%
MUNICIPIO DE CIANORTE;16;0.62%
MUNICIPIO DE QUERENCIA DO NORTE;8;0.31%
MUNICIPIO DE LONDRINA;7;0.27%
MUNICIPIO DE ARAUCARIA;6;0.23%
AUTARQUIA MUNICIPAL DE SAUDE;6;0.23%
Outros (104 itens);159;6.21%
TOTAL GERAL;2560;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;1974;77.11%
ESTADO OU DISTRITO FEDERAL;254;9.92%
MUNICIPIO;215;8.40%
AUTARQUIA MUNICIPAL;41;1.60%
SOCIEDADE EMPRESARIA LIMITADA;29;1.13%
ASSOCIACAO PRIVADA;15;0.59%
ND;9;0.35%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;5;0.20%
SOCIEDADE ANONIMA FECHADA;5;0.20%
COOPERATIVA;4;0.16%
Outros (6 itens);9;0.35%
TOTAL GERAL;2560;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO PARANA;4698;54.06%
MINISTERIO PUBLICO DO ESTADO DO PARANA;464;5.34%
MUNICIPIO DE UMUARAMA;275;3.16%
MUNICIPIO DE CURITIBA;169;1.94%
MUNICIPIO DE FOZ DO IGUACU;148;1.70%
MUNICIPIO DE ASSIS CHATEAUBRIAND;98;1.13%
MUNICIPIO DE IRATI;93;1.07%
ADVOCACIA GERAL DA UNIAO;93;1.07%
MUNICIPIO DE CIANORTE;89;1.02%
MUNICIPIO DE MARINGA;85;0.98%
Outros (416 itens);2478;28.52%
TOTAL GERAL;8690;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;4698;54.06%
MUNICIPIO;2977;34.26%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;465;5.35%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;115;1.32%
AUTARQUIA MUNICIPAL;111;1.28%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;98;1.13%
ND;45;0.52%
ASSOCIACAO PRIVADA;30;0.35%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;27;0.31%
SOCIEDADE EMPRESARIA LIMITADA;19;0.22%
Outros (21 itens);105;1.21%
TOTAL GERAL;8690;100.00%




=== REGIONAL SU_TJRS_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12494;14916;29.09%
12495;12148;23.69%
12503;4932;9.62%
12500;4214;8.22%
12496;2214;4.32%
12508;1778;3.47%
12487;1104;2.15%
12505;1079;2.10%
12416;1070;2.09%
12489;980;1.91%
Outros (180 itens);6837;13.33%
TOTAL GERAL;51272;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
RIO GRANDE DO SUL PROCURADORIA GERAL DE JUSTICA;427;38.40%
RIO GRANDE DO SUL DEFENSORIA PUBLICA DO ESTADO DO RS;285;25.63%
ESTADO DO RIO GRANDE DO SUL;143;12.86%
MUNICIPIO DO RIO GRANDE;10;0.90%
MUNICIPIO DE SANTO ANTONIO DA PATRULHA;6;0.54%
ASSOCIACAO CONGREGACAO DE SANTA CATARINA;6;0.54%
MUNICIPIO DE NOVO HAMBURGO;5;0.45%
MUNICIPIO DE CAXIAS DO SUL;5;0.45%
MUNICIPIO DE TORRES;5;0.45%
ADVOCACIA GERAL DA UNIAO;5;0.45%
Outros (142 itens);215;19.33%
TOTAL GERAL;1112;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;712;64.03%
ESTADO OU DISTRITO FEDERAL;143;12.86%
MUNICIPIO;128;11.51%
ASSOCIACAO PRIVADA;41;3.69%
SOCIEDADE SIMPLES PURA;31;2.79%
SOCIEDADE EMPRESARIA LIMITADA;12;1.08%
SOCIEDADE UNIPESSOAL DE ADVOGADOS;8;0.72%
SOCIEDADE SIMPLES LIMITADA;6;0.54%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;5;0.45%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;5;0.45%
Outros (10 itens);21;1.89%
TOTAL GERAL;1112;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO RIO GRANDE DO SUL;39543;60.90%
INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES PUBLICOS DO RIO GRANDE DO SUL;2383;3.67%
MUNICIPIO DE PORTO ALEGRE;877;1.35%
MUNICIPIO DE PELOTAS;721;1.11%
MUNICIPIO DE CAXIAS DO SUL;703;1.08%
MUNICIPIO DO RIO GRANDE;603;0.93%
MUNICIPIO DE GRAVATAI;576;0.89%
ADVOCACIA GERAL DA UNIAO;566;0.87%
MUNICIPIO DE VIAMAO;550;0.85%
MUNICIPIO DE VENANCIO AIRES;541;0.83%
Outros (615 itens);17870;27.52%
TOTAL GERAL;64933;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;39545;60.90%
MUNICIPIO;21378;32.92%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;2700;4.16%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;777;1.20%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;106;0.16%
ASSOCIACAO PRIVADA;106;0.16%
AUTARQUIA MUNICIPAL;79;0.12%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;46;0.07%
FUNDACAO PUBLICA DE DIREITO PUBLICO MUNICIPAL;38;0.06%
SOCIEDADE EMPRESARIA LIMITADA;26;0.04%
Outros (18 itens);132;0.20%
TOTAL GERAL;64933;100.00%




=== REGIONAL SU_TJSC_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12492;1830;19.80%
12495;1462;15.82%
12496;826;8.94%
12491;723;7.82%
12494;624;6.75%
12501;527;5.70%
12487;381;4.12%
12508;355;3.84%
12485;299;3.24%
12503;239;2.59%
Outros (125 itens);1976;21.38%
TOTAL GERAL;9242;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE SANTA CATARINA;428;31.77%
SANTA CATARINA DEFENSORIA PUBLICA;318;23.61%
MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA PROCURADORIA GERAL DE JUSTICA;306;22.72%
MUNICIPIO DE BALNEARIO CAMBORIU;21;1.56%
MUNICIPIO DE JOINVILLE;21;1.56%
MUNICIPIO DE FLORIANOPOLIS;18;1.34%
MUNICIPIO DE ITAJAI;8;0.59%
BANNY S CABELEIREIROS LTDA;7;0.52%
MUNICIPIO DE BIGUACU;7;0.52%
MUNICIPIO DE LAGES;7;0.52%
Outros (147 itens);206;15.29%
TOTAL GERAL;1347;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;427;31.70%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;318;23.61%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;306;22.72%
MUNICIPIO;186;13.81%
SOCIEDADE EMPRESARIA LIMITADA;34;2.52%
SOCIEDADE SIMPLES PURA;28;2.08%
SOCIEDADE UNIPESSOAL DE ADVOGADOS;17;1.26%
ASSOCIACAO PRIVADA;8;0.59%
SOCIEDADE ANONIMA FECHADA;5;0.37%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;5;0.37%
Outros (6 itens);13;0.97%
TOTAL GERAL;1347;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SANTA CATARINA;6766;58.31%
MUNICIPIO DE FLORIANOPOLIS;463;3.99%
MUNICIPIO DE JOINVILLE;344;2.96%
ADVOCACIA GERAL DA UNIAO;274;2.36%
MUNICIPIO DE ITAJAI;238;2.05%
MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA PROCURADORIA GERAL DE JUSTICA;152;1.31%
MUNICIPIO DE CHAPECO;138;1.19%
MUNICIPIO DE CRICIUMA;133;1.15%
MUNICIPIO DE BLUMENAU;110;0.95%
FUNDO DO PLANO DE SAUDE DOS SERVIDORES PUBLICOS ESTADUAIS DE SANTA CATARINA;108;0.93%
Outros (313 itens);2877;24.80%
TOTAL GERAL;11603;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;6776;58.40%
MUNICIPIO;4069;35.07%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;307;2.65%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;152;1.31%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;124;1.07%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;71;0.61%
ASSOCIACAO PRIVADA;27;0.23%
ND;17;0.15%
AUTARQUIA MUNICIPAL;13;0.11%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;12;0.10%
Outros (12 itens);35;0.30%
TOTAL GERAL;11603;100.00%




=== REGIONAL TRFS_TRF1_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12495;2189;17.09%
12514;1955;15.26%
12496;1676;13.08%
12494;1291;10.08%
12493;673;5.25%
12487;583;4.55%
12503;552;4.31%
12500;326;2.54%
12484;320;2.50%
12489;230;1.80%
Outros (205 itens);3017;23.55%
TOTAL GERAL;12812;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
PRESIDENCIA DA REPUBLICA;714;16.07%
COMANDO DA MARINHA;453;10.20%
ESTADO DE GOIAS;137;3.08%
ESTADO DE RONDONIA;117;2.63%
SUPERINTENDENCIA ESTADUAL DE GESTAO DE PESSOAS - SEGEP;94;2.12%
SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS;79;1.78%
MINISTERIO PUBLICO FEDERAL (PROCURADORIA);55;1.24%
1 BATALHAO DE ENGENHARIA DE CONSTRUCAO;51;1.15%
DEFENSORIA PUBLICA DA UNIAO;47;1.06%
ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS;39;0.88%
Outros (1983 itens);2656;59.79%
TOTAL GERAL;4442;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;1250;28.14%
ASSOCIACAO PRIVADA;788;17.74%
MUNICIPIO;735;16.55%
SOCIEDADE EMPRESARIA LIMITADA;535;12.04%
ESTADO OU DISTRITO FEDERAL;345;7.77%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;275;6.19%
ND;123;2.77%
FUNDACAO PRIVADA;76;1.71%
SOCIEDADE SIMPLES LIMITADA;60;1.35%
ORGAO PUBLICO AUTONOMO FEDERAL;51;1.15%
Outros (24 itens);204;4.59%
TOTAL GERAL;4442;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
PRESIDENCIA DA REPUBLICA;9033;28.98%
MINISTERIO DA FAZENDA;4484;14.38%
ESTADO DA BAHIA;1914;6.14%
ESTADO DE GOIAS;1508;4.84%
COMANDO DA MARINHA;1054;3.38%
BAHIA TRIBUNAL DE JUSTICA;911;2.92%
TAB.DE NOTAS  PROT. DE TITULOS REG. DE IMOVEIS  REG. DE TIT. E DOC.REG.CIVIL DE PESSOAS JURIDICAS E CIVIL PESSOAS N;709;2.27%
1 BATALHAO DE ENGENHARIA DE CONSTRUCAO;670;2.15%
MUNICIPIO DE SALVADOR;618;1.98%
ESTADO DO PARA;509;1.63%
Outros (987 itens);9765;31.32%
TOTAL GERAL;31175;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;15503;49.73%
ESTADO OU DISTRITO FEDERAL;5887;18.88%
MUNICIPIO;3532;11.33%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1927;6.18%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;1259;4.04%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;948;3.04%
SERVICO NOTARIAL E REGISTRAL (CARTORIO);709;2.27%
ND;447;1.43%
ORGAO PUBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;216;0.69%
AUTARQUIA FEDERAL;178;0.57%
Outros (27 itens);569;1.83%
TOTAL GERAL;31175;100.00%




=== REGIONAL TRFS_TRF2_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;1782;25.15%
12491;765;10.80%
12500;710;10.02%
12485;661;9.33%
12483;438;6.18%
12511;438;6.18%
12501;298;4.21%
12495;239;3.37%
12492;198;2.79%
12496;183;2.58%
Outros (147 itens);1374;19.39%
TOTAL GERAL;7086;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ADVOCACIA GERAL DA UNIAO;336;38.18%
ESTADO DO RIO DE JANEIRO;149;16.93%
MUNICIPIO DE RIO DE JANEIRO;58;6.59%
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;43;4.89%
ESTADO DO ESPIRITO SANTO;23;2.61%
DEFENSORIA PUBLICA DA UNIAO;21;2.39%
MUNICIPIO DE NITEROI;18;2.05%
MINISTERIO PUBLICO DA UNIAO;17;1.93%
MINISTERIO PUBLICO FEDERAL;15;1.70%
MINISTERIO PUBLICO DO ESTADO DO ESPIRITO SANTO;10;1.14%
Outros (135 itens);190;21.59%
TOTAL GERAL;880;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;338;38.41%
ESTADO OU DISTRITO FEDERAL;172;19.55%
MUNICIPIO;108;12.27%
AUTARQUIA FEDERAL;53;6.02%
SOCIEDADE EMPRESARIA LIMITADA;43;4.89%
ORGAO PUBLICO AUTONOMO FEDERAL;38;4.32%
COOPERATIVA;30;3.41%
SOCIEDADE ANONIMA FECHADA;25;2.84%
ASSOCIACAO PRIVADA;18;2.05%
NATUREZA JURIDICA NAO INFORMADA;15;1.70%
Outros (11 itens);40;4.55%
TOTAL GERAL;880;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ADVOCACIA GERAL DA UNIAO;5356;35.07%
ESTADO DO RIO DE JANEIRO;4413;28.89%
MUNICIPIO DE RIO DE JANEIRO;2829;18.52%
ESTADO DO ESPIRITO SANTO;456;2.99%
MUNICIPIO DE SAO GONCALO;419;2.74%
MUNICIPIO DE NITEROI;181;1.19%
MUNICIPIO DE DUQUE DE CAXIAS;106;0.69%
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;99;0.65%
MUNICIPIO DE LINHARES;82;0.54%
MUNICIPIO DE NOVA IGUACU;71;0.46%
Outros (213 itens);1262;8.26%
TOTAL GERAL;15274;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;5497;35.99%
ESTADO OU DISTRITO FEDERAL;4870;31.88%
MUNICIPIO;4494;29.42%
AUTARQUIA FEDERAL;195;1.28%
SOCIEDADE EMPRESARIA LIMITADA;27;0.18%
COOPERATIVA;22;0.14%
SOCIEDADE ANONIMA FECHADA;21;0.14%
ASSOCIACAO PRIVADA;20;0.13%
EMPRESA PUBLICA;19;0.12%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;19;0.12%
Outros (16 itens);90;0.59%
TOTAL GERAL;15274;100.00%




=== REGIONAL TRFS_TRF3_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;1590;30.22%
12492;410;7.79%
12495;355;6.75%
12496;348;6.61%
12516;259;4.92%
12493;226;4.29%
12501;199;3.78%
12491;153;2.91%
12487;150;2.85%
12494;148;2.81%
Outros (199 itens);1424;27.06%
TOTAL GERAL;5262;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ADVOCACIA GERAL DA UNIAO;122;17.21%
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;49;6.91%
SECRETARIA DE AGRICULTURA E ABASTECIMENTO;49;6.91%
NOTRE DAME INTERMEDICA SAUDE S.A.;30;4.23%
TRIBUNAL DE JUSTICA DO ESTADO MATO GROSSO DO SUL;23;3.24%
TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO DO SUL;19;2.68%
ESTADO DE MATO GROSSO DO SUL;19;2.68%
NOTRE DAME INTERMEDICA MINAS GERAIS SAUDE S.A;18;2.54%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;16;2.26%
MINISTERIO PUBLICO FEDERAL;14;1.97%
Outros (176 itens);350;49.37%
TOTAL GERAL;709;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;125;17.63%
COOPERATIVA;103;14.53%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;70;9.87%
SOCIEDADE ANONIMA FECHADA;67;9.45%
AUTARQUIA FEDERAL;62;8.74%
ASSOCIACAO PRIVADA;58;8.18%
SOCIEDADE EMPRESARIA LIMITADA;52;7.33%
MUNICIPIO;39;5.50%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;25;3.53%
ND;21;2.96%
Outros (15 itens);87;12.27%
TOTAL GERAL;709;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ADVOCACIA GERAL DA UNIAO;2736;37.12%
SECRETARIA DE ESTADO DA SAUDE;1119;15.18%
TRIBUNAL DE JUSTICA DO ESTADO MATO GROSSO DO SUL;397;5.39%
SECRETARIA DE AGRICULTURA E ABASTECIMENTO;277;3.76%
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;247;3.35%
TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO DO SUL;207;2.81%
ESTADO DE MATO GROSSO DO SUL;175;2.37%
MUNICIPIO DE CAMPO GRANDE;169;2.29%
MUNICIPIO DE SAO PAULO;134;1.82%
MUNICIPIO DE DOURADOS;120;1.63%
Outros (436 itens);1789;24.27%
TOTAL GERAL;7370;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;2925;39.69%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1616;21.93%
MUNICIPIO;1369;18.58%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;398;5.40%
AUTARQUIA FEDERAL;338;4.59%
ORGAO PUBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;207;2.81%
ESTADO OU DISTRITO FEDERAL;171;2.32%
ND;145;1.97%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;33;0.45%
ASSOCIACAO PRIVADA;28;0.38%
Outros (21 itens);140;1.90%
TOTAL GERAL;7370;100.00%




=== REGIONAL TRFS_TRF4_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12495;6836;23.54%
12496;6787;23.37%
12494;3934;13.55%
12484;1004;3.46%
12516;925;3.19%
12503;892;3.07%
8961;857;2.95%
12491;743;2.56%
12485;662;2.28%
12493;614;2.11%
Outros (192 itens);5782;19.91%
TOTAL GERAL;29036;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ADVOCACIA GERAL DA UNIAO;2643;55.01%
ESTADO DO RIO GRANDE DO SUL;744;15.48%
DEFENSORIA PUBLICA DA UNIAO;381;7.93%
ESTADO DE SANTA CATARINA;100;2.08%
ESTADO DO PARANA;98;2.04%
MINISTERIO PUBLICO DA UNIAO;93;1.94%
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;39;0.81%
MAICON CASTILHO - SOCIEDADE INDIVIDUAL DE ADVOCACIA;29;0.60%
CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;29;0.60%
MINISTERIO PUBLICO DO ESTADO DO PARANA;26;0.54%
Outros (301 itens);623;12.97%
TOTAL GERAL;4805;100.00%
